iter	Logloss
0	0.6246889826
1	0.5752113365
2	0.5287527004
3	0.4934040884
4	0.4696334429
5	0.4498460014
6	0.4309319693
7	0.4206408911
8	0.4065266706
9	0.3939837466
10	0.3846187818
11	0.3792646626
12	0.3694968457
13	0.3621938586
14	0.3546963989
15	0.3455683587
16	0.3415315756
17	0.3373833527
18	0.3327661748
19	0.3286942777
20	0.3206164799
21	0.3179745313
22	0.3145488521
23	0.3124864329
24	0.3079279185
25	0.3064949702
26	0.3060634979
27	0.3024219486
28	0.2993751269
29	0.2946614842
30	0.2874477603
31	0.2851165334
32	0.2790925997
33	0.2768726814
34	0.2727099228
35	0.2707977966
36	0.2668630616
37	0.2652603059
38	0.2646194859
39	0.2625629489
40	0.2615097817
41	0.259429198
42	0.2562994546
43	0.25124163
44	0.2488410179
45	0.2446357906
46	0.2432126494
47	0.2418708605
48	0.2383138092
49	0.2337954627
50	0.2323518496
51	0.2308337195
52	0.2256378108
53	0.2246573688
54	0.2242913037
55	0.2207190276
56	0.2183400538
57	0.2182043899
58	0.2125553715
59	0.2089760567
60	0.208467271
61	0.2054078076
62	0.2044599709
63	0.199003007
64	0.1963254881
65	0.1931731654
66	0.190487904
67	0.1880660239
68	0.1875920621
69	0.1869769875
70	0.18389796
71	0.1830938872
72	0.1828643606
73	0.1815783729
74	0.1813631706
75	0.1803325493
76	0.1778483324
77	0.1769033456
78	0.1767101995
79	0.1763117217
80	0.1731078073
81	0.1688856086
82	0.1687040982
83	0.1667519603
84	0.1664335186
85	0.1662642394
86	0.1643830065
87	0.1642217784
88	0.1623640849
89	0.1580764622
90	0.157207687
91	0.1551093671
92	0.1527156411
93	0.152559974
94	0.1497363054
95	0.1493186251
96	0.1461943127
97	0.1445467979
98	0.1420975544
99	0.1389976375
100	0.1368396277
101	0.1343457438
102	0.1317936936
103	0.1306830428
104	0.1269774319
105	0.1268304838
106	0.1267061697
107	0.125254065
108	0.1231950689
109	0.12124786
110	0.1205291295
111	0.1199691552
112	0.1198415579
113	0.1197321252
114	0.1183002803
115	0.118206565
116	0.1173223893
117	0.1157368993
118	0.1142177434
119	0.1138742246
120	0.1133178551
121	0.1127710347
122	0.1114060485
123	0.1113152011
124	0.1096010528
125	0.1091411143
126	0.1076749189
127	0.1066172236
128	0.1045311724
129	0.103883196
130	0.1025480933
131	0.1009472963
132	0.1008723521
133	0.1007986492
134	0.1002406035
135	0.09869195607
136	0.09773048438
137	0.09605561948
138	0.09595947029
139	0.09575259686
140	0.09566611347
141	0.09523857773
142	0.09517698249
143	0.09502814328
144	0.09409585127
145	0.09336387274
146	0.09330420997
147	0.09231971069
148	0.09119614244
149	0.08996918674
150	0.08857570453
151	0.08786022023
152	0.08664524013
153	0.08546205345
154	0.08372858438
155	0.08366758272
156	0.08260351222
157	0.08208655474
158	0.08203888481
159	0.08198348353
160	0.08118982896
161	0.08047339197
162	0.08003756232
163	0.07992128449
164	0.079865697
165	0.07916272081
166	0.07849096759
167	0.07798337148
168	0.07788539376
169	0.07723006976
170	0.07648350779
171	0.07609179493
172	0.07494270013
173	0.07490503394
174	0.07425874422
175	0.07315599968
176	0.07304948864
177	0.07269064405
178	0.07195999406
179	0.07155383372
180	0.07135453007
181	0.07110286596
182	0.07100869457
183	0.07002530906
184	0.06958976905
185	0.06911687467
186	0.06858955188
187	0.06854577202
188	0.06807028755
189	0.0670910453
190	0.06670614609
191	0.06607587328
192	0.06541206768
193	0.06517671948
194	0.06469027563
195	0.06465003855
196	0.06410859143
197	0.06407894625
198	0.06380348954
199	0.06377501478
